Date,S&P Index,ETF Price
2012-01-03,1277.060059,1
2012-01-04,1277.300049,1.000187924
2012-01-05,1281.060059,1.003132194
2012-01-06,1277.810059,1.000587286
2012-01-09,1280.699951,1.002850212
2012-01-10,1292.079956,1.011761308
2012-01-11,1292.47998,1.012074546
2012-01-12,1295.5,1.014439369
2012-01-13,1289.089966,1.009420001
2012-01-17,1293.670044,1.013006424
2012-01-18,1308.040039,1.024258828
2012-01-19,1314.5,1.029317291
2012-01-20,1315.380005,1.030006377
2012-01-23,1316,1.030491863
2012-01-24,1314.650024,1.029434767
2012-01-25,1326.060059,1.038369378
2012-01-26,1318.430054,1.032394714
2012-01-27,1316.329956,1.030750235
2012-01-30,1313.01001,1.028150556
2012-01-31,1312.410034,1.027680746
2012-02-01,1324.089966,1.036826699
2012-02-02,1325.540039,1.037962177
2012-02-03,1344.900024,1.053121985
2012-02-06,1344.329956,1.052675594
2012-02-07,1347.050049,1.054805559
2012-02-08,1349.959961,1.057084161
2012-02-09,1351.949951,1.05864242
2012-02-10,1342.640015,1.051352288
2012-02-13,1351.77002,1.058501525
2012-02-14,1350.5,1.057507038
2012-02-15,1343.22998,1.051814259
2012-02-16,1358.040039,1.063411254
2012-02-17,1361.22998,1.065909133
2012-02-21,1362.209961,1.066676505
2012-02-22,1357.660034,1.063113692
2012-02-23,1363.459961,1.067655316
2012-02-24,1365.73999,1.069440689
2012-02-27,1367.589966,1.07088931
2012-02-28,1372.180054,1.074483572
2012-02-29,1365.680054,1.069393757
2012-03-01,1374.089966,1.075979126
2012-03-02,1369.630005,1.07248676
2012-03-05,1364.329956,1.068336564
2012-03-06,1343.359985,1.051916059
2012-03-07,1352.630005,1.059174935
2012-03-08,1365.910034,1.069573842
2012-03-09,1370.869995,1.073457732
2012-03-12,1371.089966,1.07362998
2012-03-13,1395.949951,1.093096555
2012-03-14,1394.280029,1.091788925
2012-03-15,1402.599976,1.098303847
2012-03-16,1404.170044,1.099533287
2012-03-19,1409.75,1.103902663
2012-03-20,1405.52002,1.100590383
2012-03-21,1402.890015,1.098530962
2012-03-22,1392.780029,1.090614352
2012-03-23,1397.109985,1.094004918
2012-03-26,1416.51001,1.109196079
2012-03-27,1412.52002,1.106071723
2012-03-28,1405.540039,1.100606059
2012-03-29,1403.280029,1.098836362
2012-03-30,1408.469971,1.102900338
2012-04-02,1419.040039,1.111177214
2012-04-03,1413.380005,1.106745133
2012-04-04,1398.959961,1.095453539
2012-04-05,1398.079956,1.094764452
2012-04-09,1382.199951,1.082329638
2012-04-10,1358.589966,1.063841874
2012-04-11,1368.709961,1.071766321
2012-04-12,1387.569946,1.086534604
2012-04-13,1370.26001,1.072980084
2012-04-16,1369.569946,1.072439731
2012-04-17,1390.780029,1.089048255
2012-04-18,1385.140015,1.084631851
2012-04-19,1376.920044,1.078195214
2012-04-20,1378.530029,1.079455911
2012-04-23,1366.939941,1.070380309
2012-04-24,1371.969971,1.074319067
2012-04-25,1390.689941,1.088977712
2012-04-26,1399.97998,1.096252263
2012-04-27,1403.359985,1.098898971
2012-04-30,1397.910034,1.094631395
2012-05-01,1405.819946,1.10082524
2012-05-02,1402.310059,1.098076828
2012-05-03,1391.569946,1.089666799
2012-05-04,1369.099976,1.072071722
2012-05-07,1369.579956,1.072447569
2012-05-08,1363.719971,1.067858917
2012-05-09,1354.579956,1.060701841
2012-05-10,1357.98999,1.063372063
2012-05-11,1353.390015,1.05977006
2012-05-14,1338.349976,1.047992979
2012-05-15,1330.660034,1.041971382
2012-05-16,1324.800049,1.037382729
2012-05-17,1304.859985,1.021768691
2012-05-18,1295.219971,1.014220092
2012-05-21,1315.98999,1.030484025
2012-05-22,1316.630005,1.030985188
2012-05-23,1318.859985,1.032731371
2012-05-24,1320.680054,1.034156573
2012-05-25,1317.819946,1.03191697
2012-05-29,1332.420044,1.043349555
2012-05-30,1313.319946,1.028393251
2012-05-31,1310.329956,1.026051944
2012-06-01,1278.040039,1.000767372
2012-06-04,1278.180054,1.00087701
2012-06-05,1285.5,1.006608883
2012-06-06,1315.130005,1.029810615
2012-06-07,1314.98999,1.029700977
2012-06-08,1325.660034,1.038056139
2012-06-11,1308.930054,1.024955753
2012-06-12,1324.180054,1.036897243
2012-06-13,1314.880005,1.029614853
2012-06-14,1329.099976,1.04074978
2012-06-15,1342.839966,1.051508859
2012-06-18,1344.780029,1.053028023
2012-06-19,1357.97998,1.063364225
2012-06-20,1355.689941,1.061571013
2012-06-21,1325.51001,1.037938663
2012-06-22,1335.02002,1.045385462
2012-06-25,1313.719971,1.02870649
2012-06-26,1319.98999,1.033616219
2012-06-27,1331.849976,1.042903164
2012-06-28,1329.040039,1.040702847
2012-06-29,1362.160034,1.06663741
2012-07-02,1365.51001,1.069260604
2012-07-03,1374.02002,1.075924355
2012-07-05,1367.579956,1.070881472
2012-07-06,1354.680054,1.060780223
